Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",4,"Little, Brown and Company",Hardcover,309,2008,2008,,2013/07/17,,,read,,,,1,0
1842,"Guns, Germs, and Steel: The Fates of Human Societies",Jared Diamond,"Diamond, Jared",,"=""0739467352""","=""9780739467350""",5,W.W. Norton & Company,Paperback,498,2005,1997,,2013/07/17,,,read,,,,1,0
6326207,The Diary of a U-boat Commander,R.N. Etienne,"Etienne, R.N.",,"=""1514229099""","=""9781514229095""",5,,Kindle Edition,272,2009,1920,2013/07/17,2013/07/02,,,read,,,,1,0
15815810,Exploding the Phone: The Untold Story of the Teenagers and Outlaws who Hacked Ma Bell,Phil  Lapsley,"Lapsley, Phil",Steve Wozniak,"=""080212061X""","=""9780802120618""",5,Grove Press,Hardcover,431,2013,2013,2013/07/17,2013/06/17,,,read,,,,1,0
12678461,Amped,Daniel H. Wilson,"Wilson, Daniel H.",,"=""0385535155""","=""9780385535151""",4,Doubleday,Hardcover,274,2012,2012,2013/06/17,2013/05/28,,,read,,,,1,0
9634967,"Robopocalypse (Robopocalypse, #1)",Daniel H. Wilson,"Wilson, Daniel H.",,"=""0385533853""","=""9780385533850""",0,Doubleday,Hardcover,368,2011,2011,,2013/05/28,to-read,to-read (#42),to-read,,,,0,0
12853147,"The Mongoliad: Book One (Foreworld, #1)",Neal Stephenson,"Stephenson, Neal","Greg Bear, Mark Teppo, E.D. deBirmingham, Erik Bear, Joseph Brassey, Cooper Moo","=""1612187447""","=""9781612187440""",5,47north,Kindle Edition,490,2012,2012,2013/01/13,2013/01/28,,,read,,,,1,0
9334564,Meditations,Marcus Aurelius,"Aurelius, Marcus",Marcus,"=""1907661719""","=""9781907661716""",0,White Crow Books,Hardcover,164,2010,180,,2013/02/03,to-read,to-read (#41),to-read,,,,0,0
16043857,"The Eye of Zoltar (The Last Dragonslayer, #3)",Jasper Fforde,"Fforde, Jasper",,"=""1444707272""","=""9781444707274""",0,Hodder & Stoughton,Hardcover,401,2014,2014,,2013/01/28,to-read,to-read (#40),to-read,,,,0,0
13316328,"The Last Dragonslayer (The Last Dragonslayer, #1)",Jasper Fforde,"Fforde, Jasper",,"=""0547738471""","=""9780547738475""",4,Harcourt,Hardcover,287,2012,2010,,2013/01/28,,,read,,,,1,0
